CRIM,ZN,INDUS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,LSTAT
25.0461,0.0,18.1,0.693,5.987,100.0,1.5888,24.0,666.0,20.2,26.77
0.03548,80.0,3.64,0.392,5.876,19.1,9.2203,1.0,315.0,16.4,9.25
0.06642,0.0,4.05,0.51,6.86,74.4,2.9153,5.0,296.0,16.6,6.92
0.02498,0.0,1.89,0.518,6.54,59.7,6.2669,1.0,422.0,15.9,8.65
0.01432,100.0,1.32,0.411,6.816,40.5,8.3248,5.0,256.0,15.1,3.95
38.3518,0.0,18.1,0.693,5.453,100.0,1.4896,24.0,666.0,20.2,30.59
0.10574,0.0,27.74,0.609,5.983,98.8,1.8681,4.0,711.0,20.1,18.07
1.23247,0.0,8.14,0.538,6.142,91.7,3.9769,4.0,307.0,21.0,18.72
2.44668,0.0,19.58,0.871,5.272,94.0,1.7364,5.0,403.0,14.7,16.14
0.22188,20.0,6.96,0.464,7.691,51.8,4.3665,3.0,223.0,18.6,6.58
